品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
B,奔腾,一汽奔腾,奔腾T33,2019款 1.6L 自动互联智享型 国V,4,L,4,6挡手自一体,1.6,国V,2019.08,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:32.400203
B,奔腾,一汽奔腾,奔腾T33,2019款 1.6L 手动互联智酷型 国V,4,L,4,5挡手动,1.6,国V,2019.08,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:32.551109
B,奔腾,一汽奔腾,奔腾T33,2019款 1.6L 自动互联智酷型 国V,4,L,4,6挡手自一体,1.6,国V,2019.08,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:33.774079
B,奔腾,一汽奔腾,奔腾T33,2019款 1.6L 自动互联智享型 国VI,4,L,4,6挡手自一体,1.6,国VI,2019.08,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:33.923373
B,奔腾,一汽奔腾,奔腾T33,2019款 1.6L 手动舒适型 国VI,4,L,4,5挡手动,1.6,国VI,暂无数据,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:34.055293
B,奔腾,一汽奔腾,奔腾T33,2019款 1.6L 手动舒适型 国V,4,L,4,5挡手动,1.6,国V,暂无数据,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:34.202205
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊贵型 国V,4,L,4,7挡双离合,1.2,国V,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:34.684526
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 手动舒适型 国V,4,L,4,6挡手动,1.2,国V,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:34.815450
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊享型米粉版 国V,4,L,4,7挡双离合,1.2,国V,2019.04,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:34.949363
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊贵型米粉版 国V,4,L,4,7挡双离合,1.2,国V,2019.04,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:35.110265
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动豪华型 国VI,4,L,4,7挡双离合,1.2,国VI,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:35.264166
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊贵型 国VI,4,L,4,7挡双离合,1.2,国VI,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:35.428069
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 手动舒适型 国VI,4,L,4,6挡手动,1.2,国VI,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:35.670229
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动舒适型 国VI,4,L,4,7挡双离合,1.2,国VI,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:35.807146
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 手动豪华型 国VI,4,L,4,6挡手动,1.2,国VI,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:35.969150
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊享型 国VI,4,L,4,7挡双离合,1.2,国VI,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:36.345578
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 手动豪华型 国V,4,L,4,6挡手动,1.2,国V,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:36.506478
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊享型 国V,4,L,4,7挡双离合,1.2,国V,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:36.704355
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动舒适型 国V,4,L,4,7挡双离合,1.2,国V,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:36.840270
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动豪华型 国V,4,L,4,7挡双离合,1.2,国V,2018.11,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:36.993179
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊享型米粉版 国VI,4,L,4,7挡双离合,1.2,国VI,2019.04,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:37.139084
B,奔腾,一汽奔腾,奔腾T77,2019款 230 TID 自动尊贵型米粉版 国VI,4,L,4,7挡双离合,1.2,国VI,2019.04,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:37.322553
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 自动豪华型,4,L,4,6挡手自一体,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:37.848224
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动互联智酷型 国VI,4,L,4,5挡手动,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:38.195881
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动技术型 国VI,4,L,4,5挡手动,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:38.332432
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动互联智酷型 国VI,4,L,4,6挡手自一体,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:38.528309
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动舒适型 国VI,4,L,4,5挡手动,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:38.668224
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动豪华型 国VI,4,L,4,5挡手动,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:38.819133
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动豪华型 国VI,4,L,4,6挡手自一体,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:38.970393
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动互联智享型 国VI,4,L,4,6挡手自一体,1.6,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:39.147302
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 自动互联智酷型,4,L,4,6挡手自一体,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:39.305205
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 自动互联智享型,4,L,4,6挡手自一体,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:39.473101
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 手动技术型,4,L,4,5挡手动,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:39.619014
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 手动豪华型,4,L,4,5挡手动,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:39.830431
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 手动互联智酷型,4,L,4,5挡手动,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:39.971354
B,奔腾,一汽奔腾,奔腾X40,2018款 网红版 1.6L 手动舒适型,4,L,4,5挡手动,1.6,国V,2018.03,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:40.112268
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动舒适型 国V,4,L,4,5挡手动,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:40.264173
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动豪华型 国V,4,L,4,6挡手自一体,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:40.410104
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动互联智酷型 国V,4,L,4,6挡手自一体,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:40.561590
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动互联智能版 国V,4,L,4,6挡手自一体,1.6,国V,2019.01,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:40.705502
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动豪华型 国V,4,L,4,5挡手动,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:40.841417
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动互联智酷型 国V,4,L,4,5挡手动,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:40.984329
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 手动技术型 国V,4,L,4,5挡手动,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:41.126241
B,奔腾,一汽奔腾,奔腾X40,2019款 1.6L 自动互联智享型 国V,4,L,4,6挡手自一体,1.6,国V,2018.09,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:41.313125
B,奔腾,一汽奔腾,奔腾X40新能源,2019款 EV400 舒适型,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,2018.09,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:41.802443
B,奔腾,一汽奔腾,奔腾X40新能源,2019款 EV400 尊享型,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,2018.09,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 12:34:42.140298
B,奔腾,一汽奔腾,奔腾X80,2018款 Live版 2.0L 手动豪华型,4,L,4,6挡手动,2.0,国V+OBD,2018.05,汽油,92号,三年或10万公里,5,多连杆悬架带横向稳定杆,电子驻车,2019-09-27 12:34:42.655617
B,奔腾,一汽奔腾,奔腾X80,2018款 Live版 1.8T 自动豪华型,4,L,4,6挡手自一体,1.8,国V+OBD,2018.05,汽油,92号,三年或10万公里,5,多连杆悬架带横向稳定杆,电子驻车,2019-09-27 12:34:42.859483
B,奔腾,一汽奔腾,奔腾X80,2018款 Live版 1.8T 自动旗舰型,4,L,4,6挡手自一体,1.8,国V+OBD,2018.05,汽油,92号,三年或10万公里,5,多连杆悬架带横向稳定杆,电子驻车,2019-09-27 12:34:43.012391
B,奔腾,一汽奔腾,奔腾X80,2018款 Live版 2.0L 自动舒适型,4,L,4,6挡手自一体,2.0,国V+OBD,2018.05,汽油,92号,三年或10万公里,5,多连杆悬架带横向稳定杆,电子驻车,2019-09-27 12:34:43.210268
B,奔腾,一汽奔腾,奔腾X80,2018款  2.0L 自动20周年纪念版,4,L,4,6挡手自一体,2.0,国V+OBD,2017.10,汽油,92号,三年或10万公里,5,多连杆悬架带横向稳定杆,电子驻车,2019-09-27 12:34:43.369168
B,奔腾,一汽奔腾,奔腾X80,2017款 1.8T 自动豪华型,4,L,4,6挡手自一体,1.8,国V+OBD,2016.09,汽油,92号,三年或10万公里,5,多连杆悬架带横向稳定杆,电子驻车,2019-09-27 12:34:43.503084
B,本田,东风本田,INSPIRE,2019款 260TURBO 精悦版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:44.008488
B,本田,东风本田,INSPIRE,2019款 锐・混动 2.0L 净尚版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:44.158399
B,本田,东风本田,INSPIRE,2019款 锐・混动 2.0L 净尚版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:44.341285
B,本田,东风本田,INSPIRE,2019款 260TURBO 典雅版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:44.640103
B,本田,东风本田,INSPIRE,2019款  锐・混动 2.0L 净越版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:44.785010
B,本田,东风本田,INSPIRE,2019款 260TURBO 精耀版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:44.933519
B,本田,东风本田,INSPIRE,2019款 锐・混动 2.0L 净雅版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:45.094500
B,本田,东风本田,INSPIRE,2019款 260TURBO 精致版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:45.251403
B,本田,东风本田,INSPIRE,2019款 锐・混动 2.0L 净越版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:45.400310
B,本田,东风本田,INSPIRE,2019款 260TURBO 典雅版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:45.556214
B,本田,东风本田,INSPIRE,2019款 260TURBO 精悦版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:45.700124
B,本田,东风本田,INSPIRE,2019款 锐・混动 2.0L 净雅版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:45.899009
B,本田,东风本田,INSPIRE,2019款 260TURBO 精耀版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:46.135517
B,本田,东风本田,INSPIRE,2019款 260TURBO 精致版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:46.314404
B,本田,东风本田,艾力绅,2019款 2.0L 混动至尊版,4,L,4,E-CVT无级变速,2.0,国VI,2019.09,油电混合,92号,三年或10万公里,7,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:46.771147
B,本田,东风本田,艾力绅,2016款 2.4L 舒适版,4,L,4,CVT无级变速,2.4,国V,2016.01,汽油,92号,三年或10万公里,7,扭力梁式非独立悬架,脚刹,2019-09-27 12:34:46.903066
B,本田,东风本田,艾力绅,2016款 2.4L 至尊版,4,L,4,CVT无级变速,2.4,国V,2016.01,汽油,92号,三年或10万公里,7,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:47.050977
B,本田,东风本田,艾力绅,2016款 2.4L 经典版,4,L,4,CVT无级变速,2.4,国V,2016.01,汽油,92号,三年或10万公里,7,扭力梁式非独立悬架,脚刹,2019-09-27 12:34:47.191886
B,本田,东风本田,艾力绅,2016款 2.4L 豪华版,4,L,4,CVT无级变速,2.4,国V,2016.01,汽油,92号,三年或10万公里,7,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:47.329402
B,本田,东风本田,艾力绅,2019款 2.0L 混动豪华版,4,L,4,E-CVT无级变速,2.0,国VI,2019.09,油电混合,92号,三年或10万公里,7,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:47.530276
B,本田,东风本田,艾力绅,2019款 2.0L 混动舒适版,4,L,4,E-CVT无级变速,2.0,国VI,2019.09,油电混合,92号,三年或10万公里,7,扭力梁式非独立悬架,电子驻车,2019-09-27 12:34:47.685181
B,本田,东风本田,艾力绅,2016款 2.4L 风尚版,4,L,4,CVT无级变速,2.4,国V,2016.03,汽油,92号,三年或10万公里,7,扭力梁式非独立悬架,脚刹,2019-09-27 12:34:47.830091
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT两驱风尚版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:48.321349
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT两驱舒适版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:48.456265
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT四驱豪华版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:48.587185
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT两驱都市版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:48.745090
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 两驱净速版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:48.927972
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 两驱净速版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.058535
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 两驱净致版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.184973
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 四驱净享版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.369870
B,本田,东风本田,本田CR-V,2019款 240TURBO 手动两驱经典版 国V,4,L,4,6挡手动,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.526766
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT两驱都市版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.700660
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT四驱尊耀版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.868557
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 两驱净驰版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:49.994476
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT四驱尊贵版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:50.124395
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT四驱尊贵版 国VI,4,L,4,CVT无级变速,1.5,国VI,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:50.435203
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 两驱净致版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:50.569121
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT两驱舒适版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:50.719027
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT四驱豪华版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:51.489325
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT四驱尊耀版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:51.638233
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 四驱净享版 国V,4,L,4,E-CVT无级变速,2.0,国V,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:51.764155
B,本田,东风本田,本田CR-V,2019款 锐・混动 2.0L 两驱净驰版 国VI,4,L,4,E-CVT无级变速,2.0,国VI,2018.10,油电混合,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:51.903068
B,本田,东风本田,本田CR-V,2019款 240TURBO CVT两驱风尚版 国V,4,L,4,CVT无级变速,1.5,国V,2018.10,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:52.041983
B,本田,东风本田,本田UR-V,2017款 370TURBO 四驱尊耀版,4,L,4,9挡手自一体,2.0,国V,2017.03,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:52.494346
B,本田,东风本田,本田UR-V,2017款 370TURBO 四驱尊享版,4,L,4,9挡手自一体,2.0,国V,2017.03,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:52.637255
B,本田,东风本田,本田UR-V,2017款 370TURBO 两驱尊贵版,4,L,4,9挡手自一体,2.0,国V,2017.03,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:52.779168
B,本田,东风本田,本田UR-V,2017款 240TURBO 两驱经典版,4,L,4,CVT无级变速,1.5,国V,2017.03,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:52.991039
B,本田,东风本田,本田UR-V,2017款 240TURBO 两驱豪华版,4,L,4,CVT无级变速,1.5,国V,2017.03,汽油,92号,三年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 12:34:53.142941
B,本田,东风本田,本田XR-V,2017款 1.5L LXi 手动经典版,4,L,4,6挡手动,1.5,国V,2017.01,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:53.618452
B,本田,东风本田,本田XR-V,2017款 1.8L EXi 手动舒适版,4,L,4,6挡手动,1.8,国V,2017.01,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:53.802339
B,本田,东风本田,本田XR-V,2017款 1.5L LXi CVT经典版,4,L,4,CVT无级变速,1.5,国V,2017.01,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:53.953242
B,本田,东风本田,本田XR-V,2017款 1.8L EXi CVT舒适版,4,L,4,CVT无级变速,1.8,国V,2017.01,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:54.119146
B,本田,东风本田,本田XR-V,2017款 1.8L VTi CVT豪华版,4,L,4,CVT无级变速,1.8,国V,2017.01,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:54.271045
B,本田,东风本田,本田XR-V,2019款 1.5L 手动经典版 国VI,4,L,4,6挡手动,1.5,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:54.393969
B,本田,东风本田,本田XR-V,2019款 1.5L CVT经典版 国VI,4,L,4,CVT无级变速,1.5,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:54.523889
B,本田,东风本田,本田XR-V,2019款 1.5L CVT舒适版 国VI,4,L,4,CVT无级变速,1.5,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:54.998035
B,本田,东风本田,本田XR-V,2019款 1.5L CVT豪华版 国VI,4,L,4,CVT无级变速,1.5,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:55.143942
B,本田,东风本田,本田XR-V,2019款 220 TURBO CVT舒适版 国VI,4,L,4,CVT无级变速,1.5,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:55.312430
B,本田,东风本田,本田XR-V,2019款 220 TURBO CVT旗舰版 国V,4,L,4,CVT无级变速,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:55.527307
B,本田,东风本田,本田XR-V,2019款 220 TURBO CVT旗舰版 国VI,4,L,4,CVT无级变速,1.5,国VI,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:55.663215
B,本田,东风本田,本田XR-V,2019款 1.5L 手动经典版 国V,4,L,4,6挡手动,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:55.841100
B,本田,东风本田,本田XR-V,2019款 1.5L CVT经典版 国V,4,L,4,CVT无级变速,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:55.983125
B,本田,东风本田,本田XR-V,2019款 1.5L CVT舒适版 国V,4,L,4,CVT无级变速,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:56.133032
B,本田,东风本田,本田XR-V,2019款 1.5L CVT豪华版 国V,4,L,4,CVT无级变速,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:56.634375
B,本田,东风本田,本田XR-V,2019款 220 TURBO CVT舒适版 国V,4,L,4,CVT无级变速,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:56.987152
B,本田,东风本田,本田XR-V,2019款 220 TURBO CVT豪华版 国V,4,L,4,CVT无级变速,1.5,国V,2019.07,汽油,92号,三年或10万公里,5,扭力梁式后悬架,电子驻车,2019-09-27 12:34:57.454863
