品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
B,北京,北京越野,北京BJ80,2018款 2.3T 自动尊贵型 国VI,4,L,4,6挡手自一体,2.3,国VI,国VI,汽油,95号,三年或6万公里,5,五连杆螺旋弹簧非独立式,手刹,2019-09-27 08:54:47.318656
B,北京,北京越野,北京F40,2019款 2.3T 自动魔方版,4,L,4,暂无数据,2.3,国V,国V,汽油,95号,-,2,五连杆式螺旋弹簧非独立悬架,暂无数据,2019-09-27 08:54:47.849886
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L 手动尊享智联版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:48.318622
B,北京汽车,北京汽车,绅宝D50,2019款 1.5L 手动豪华版 国V,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,手刹,2019-09-27 08:54:48.490493
B,北京汽车,北京汽车,绅宝D50,2019款 1.5L CVT豪华版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:48.646737
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L 手动尊贵智联版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:48.818604
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L CVT尊贵智联版,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:48.974851
B,北京汽车,北京汽车,绅宝D50,2019款 1.5L CVT尊贵版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:49.271713
B,北京汽车,北京汽车,绅宝D50,2019款 1.5L 手动豪华版 国VI,4,L,4,5挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,手刹,2019-09-27 08:54:49.459207
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L CVT尊贵智驾版,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:49.631075
B,北京汽车,北京汽车,绅宝D50,2019款 1.5L 手动尊贵版 国V,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:50.927908
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L CVT时尚智驾版,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:51.084152
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L 手动时尚智驾版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,手刹,2019-09-27 08:54:51.552886
B,北京汽车,北京汽车,绅宝D50,2019款 1.5L 手动尊贵版 国VI,4,L,4,5挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:51.724756
B,北京汽车,北京汽车,绅宝D50,2019款 1.5T CVT豪华版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:51.912247
B,北京汽车,北京汽车,绅宝D50,2019款 1.5T CVT尊贵版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:52.537225
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L CVT豪华智驾版,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:52.771594
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L 手动豪华智驾版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,手刹,2019-09-27 08:54:52.943464
B,北京汽车,北京汽车,绅宝D50,2019款 1.5T 手动豪华版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:53.130955
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L 手动尊贵智驾版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:53.349700
B,北京汽车,北京汽车,绅宝D50,2019款 1.5T CVT旗舰版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:53.521566
B,北京汽车,北京汽车,绅宝D50,2018款 1.5L CVT尊享智联版,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:53.849682
B,北京汽车,北京汽车,绅宝D70,2018款 性能版 1.8T 舒适版,4,L,4,5挡手自一体,1.8,国V,国V,汽油,92号,三年或6万公里,5,多连杆式独立悬架,脚刹,2019-09-27 08:54:54.334038
B,北京汽车,北京汽车,绅宝D70,2018款 性能版 1.8T 尊贵版,4,L,4,5挡手自一体,1.8,国V,国V,汽油,92号,三年或6万公里,5,多连杆式独立悬架,脚刹,2019-09-27 08:54:54.427817
B,北京汽车,北京汽车,绅宝D70,2018款 性能版 1.8T 尊享版,4,L,4,5挡手自一体,1.8,国V,国V,汽油,92号,三年或6万公里,5,多连杆式独立悬架,脚刹,2019-09-27 08:54:54.630904
B,北京汽车,北京汽车,绅宝X25,2017款 1.5L 自动精英导航版,4,L,4,4挡自动,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:55.115261
B,北京汽车,北京汽车,绅宝X25,2015款 1.5L 自动豪华型,4,L,4,4挡自动,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:55.255881
B,北京汽车,北京汽车,绅宝X25,2015款 1.5L 自动精英型,4,L,4,4挡自动,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:55.349630
B,北京汽车,北京汽车,绅宝X25,2015款 1.5L 手动舒适型,4,L,4,5挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:55.505876
B,北京汽车,北京汽车,绅宝X25,2015款 1.5L 手动标准型,4,L,4,5挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:55.599623
B,北京汽车,北京汽车,绅宝X25,2015款 1.5L 手动精英型,4,L,4,5挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:55.818363
B,北京汽车,北京汽车,绅宝X35,2016款 1.5L 手动精英版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:56.146476
B,北京汽车,北京汽车,绅宝X35,2016款 1.5L 自动尊贵版,4,L,4,4挡自动,1.5,国V,国V,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:56.349596
B,北京汽车,北京汽车,绅宝X35,2016款 1.5L 手动时尚版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:56.443342
B,北京汽车,北京汽车,绅宝X35,2016款 1.5L 自动精英版,4,L,4,4挡自动,1.5,国V,国V,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:56.552713
B,北京汽车,北京汽车,绅宝X35,2016款 1.5L 手动豪华版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:56.662083
B,北京汽车,北京汽车,绅宝X35,2016款 1.5L 自动豪华版,4,L,4,4挡自动,1.5,国V,国V,汽油,92号,三年或10万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:54:56.771454
B,北京汽车,北京汽车,绅宝X55,2016款 1.5T CVT舒适版,4,L,4,CVT无级变速,1.5,国IV(国V),国IV(国V),汽油,92号,待查,5,多连杆式独立悬架,手刹,2019-09-27 08:54:57.130817
B,北京汽车,北京汽车,绅宝X55,2016款 1.5T 手动舒适版,4,L,4,6挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:57.427681
B,北京汽车,北京汽车,绅宝X55,2016款 1.5L 手动标准版,4,L,4,5挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:57.630801
B,北京汽车,北京汽车,绅宝X55,2016款 1.5L 手动精英版,4,L,4,5挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:57.755797
B,北京汽车,北京汽车,绅宝X55,2016款 1.5T CVT豪华版,4,L,4,CVT无级变速,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:57.849543
B,北京汽车,北京汽车,绅宝X55,2016款 1.5L 手动舒适版,4,L,4,5挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:57.958912
B,北京汽车,北京汽车,绅宝X55,2016款 1.5T 手动精英版,4,L,4,6挡手动,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:58.052660
B,北京汽车,北京汽车,绅宝X55,2016款 1.5T CVT精英版,4,L,4,CVT无级变速,1.5,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:58.162029
B,北京汽车,北京汽车,绅宝X65,2015款 2.0T 自动舒适型,4,L,4,6挡手自一体,2.0,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:58.599518
B,北京汽车,北京汽车,绅宝X65,2015款 2.0T 自动精英型,4,L,4,6挡手自一体,2.0,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:58.708889
B,北京汽车,北京汽车,绅宝X65,2015款 2.0T 手动舒适型,4,L,4,5挡手动,2.0,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:58.833883
B,北京汽车,北京汽车,绅宝X65,2015款 2.0T 手动豪华型,4,L,4,5挡手动,2.0,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:58.943254
B,北京汽车,北京汽车,绅宝X65,2015款 2.0T 自动豪华型,4,L,4,6挡手自一体,2.0,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:59.224497
B,北京汽车,北京汽车,绅宝X65,2015款 2.0T 手动精英型,4,L,4,5挡手动,2.0,国IV(国V),国IV(国V),汽油,92号,三年或10万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:54:59.333867
B,北京汽车,北京汽车,智达X3,2019款 1.5L 手动星耀版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:59.755728
B,北京汽车,北京汽车,智达X3,2019款 1.5L 自动星耀版,4,L,4,4挡自动,1.5,国V,国V,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:59.880721
B,北京汽车,北京汽车,智达X3,2019款 1.5L 手动荣耀版,4,L,4,5挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:54:59.974470
B,北京汽车,北京汽车,智达X3,2019款 1.5T CVT荣耀版,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:00.083839
B,北京汽车,北京汽车,智达X3,2019款 1.5T CVT王者版,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:00.208835
B,北京汽车,北京汽车,智达X3,2019款 1.5L 自动荣耀版,4,L,4,4挡自动,1.5,国V,国V,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:00.333833
B,北京汽车,北京汽车,智达X3,2019款 1.5T 手动荣耀版,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:00.458829
B,北京汽车,北京汽车,智达X3,2019款 1.5T CVT星耀版,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:00.568198
B,北京汽车,北京汽车,智达X3,2019款 1.5T 手动星耀版,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:00.802565
B,北京汽车,北京汽车,智道U7,2019款 1.5T CVT智领版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.208802
B,北京汽车,北京汽车,智道U7,2019款 1.5T 手动进取版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.302550
B,北京汽车,北京汽车,智道U7,2019款 1.5T 手动精英版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.396294
B,北京汽车,北京汽车,智道U7,2019款 1.5T 手动新智版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.490041
B,北京汽车,北京汽车,智道U7,2019款 1.5T CVT智领版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.615038
B,北京汽车,北京汽车,智道U7,2019款 1.5T CVT新智版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.724408
B,北京汽车,北京汽车,智道U7,2019款 1.5T CVT精英版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:01.849405
B,北京汽车,北京汽车,智道U7,2019款 1.5T 手动精英版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.013579
B,北京汽车,北京汽车,智道U7,2019款 1.5T CVT新智版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.122944
B,北京汽车,北京汽车,智道U7,2019款 1.5T 手动新智版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.216689
B,北京汽车,北京汽车,智道U7,2019款 1.5T 手动进取版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.326059
B,北京汽车,北京汽车,智道U7,2019款 1.5T CVT精英版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.435433
B,北京汽车,北京汽车,智行,2018款 1.5T 手动精英版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.826045
B,北京汽车,北京汽车,智行,2019款 1.5T 手动进取版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:02.951038
B,北京汽车,北京汽车,智行,2019款 1.5T CVT新智版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.076035
B,北京汽车,北京汽车,智行,2019款 1.5T 手动精英版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.185405
B,北京汽车,北京汽车,智行,2018款 1.5T 手动新智版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.279153
B,北京汽车,北京汽车,智行,2018款 1.5T CVT新智版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.388522
B,北京汽车,北京汽车,智行,2018款 1.5T CVT智领版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.497893
B,北京汽车,北京汽车,智行,2019款 1.5T 手动新智版 国VI,4,L,4,6挡手动,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.591642
B,北京汽车,北京汽车,智行,2019款 1.5T CVT智领版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:03.701011
B,北京汽车,北京汽车,智行,2018款 1.5T 手动进取版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:04.185370
B,北京汽车,北京汽车,智行,2019款 1.5T CVT精英版 国VI,4,L,4,CVT无级变速,1.5,国VI,国VI,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:04.466612
B,北京汽车,北京汽车,智行,2019款 1.5T 手动特惠版 国V,4,L,4,6挡手动,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:04.560359
B,北京汽车,北京汽车,智行,2018款 1.5T CVT精英版 国V,4,L,4,CVT无级变速,1.5,国V,国V,汽油,92号,五年或10万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:04.716601
B,北汽新能源,北汽新能源,北汽新能源EC,2018款 EC220 经典版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:12.216341
B,北汽新能源,北汽新能源,北汽新能源EC,2018款 EC220 标准版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:12.310090
B,北汽新能源,北汽新能源,北汽新能源EC,2018款 EC220 精英版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:12.513208
B,北汽新能源,北汽新能源,北汽新能源EC3,2019款 灵动版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:12.919442
B,北汽新能源,北汽新能源,北汽新能源EC3,2018款 灵秀版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:13.091311
B,北汽新能源,北汽新能源,北汽新能源EC3,2019款 灵秀版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:13.231932
B,北汽新能源,北汽新能源,北汽新能源EC3,2018款 灵动版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,4,拖曳臂式非独立悬架,手刹,2019-09-27 08:55:13.341302
B,北汽新能源,北汽新能源,北汽新能源EC5,2019款 新潮版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:55:13.935032
B,北汽新能源,北汽新能源,北汽新能源EC5,2019款 新风版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:55:14.060030
B,北汽新能源,北汽新能源,北汽新能源EC5,2019款 新尚版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:55:14.153775
B,北汽新能源,北汽新能源,北汽新能源EU,2018款 EU快换乐途版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,手刹,2019-09-27 08:55:14.528762
B,北汽新能源,北汽新能源,北汽新能源EU5,2018款 R500 智风版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:14.997498
B,北汽新能源,北汽新能源,北汽新能源EU5,2019款 R500 智风版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:15.153741
B,北汽新能源,北汽新能源,北汽新能源EU5,2018款 R500 智尚版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,H型扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:15.669347
B,北汽新能源,北汽新能源,北汽新能源EU5,2018款 R550 智潮版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:15.763094
B,北汽新能源,北汽新能源,北汽新能源EU5,2018款 R550 智领版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:15.966214
B,北汽新能源,北汽新能源,北汽新能源EU5,2019款 R600 智领版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:16.059962
B,北汽新能源,北汽新能源,北汽新能源EU5,2019款 R600 智潮版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:16.169329
B,北汽新能源,北汽新能源,北汽新能源EU5,2019款 R500 智尚版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:16.263076
B,北汽新能源,北汽新能源,北汽新能源EU7,2019款 逸尚版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:16.716185
B,北汽新能源,北汽新能源,北汽新能源EU7,2019款 逸潮版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:16.888056
B,北汽新能源,北汽新能源,北汽新能源EU7,2019款 逸风版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:16.981804
B,北汽新能源,北汽新能源,北汽新能源EX,2018款 EX360 新风版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:55:17.403662
B,北汽新能源,北汽新能源,北汽新能源EX,2018款 EX360 新尚版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:55:17.497411
B,北汽新能源,北汽新能源,北汽新能源EX,2018款 EX360 新潮版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,三年或12万公里,5,扭力梁式非独立悬架,手刹,2019-09-27 08:55:17.606782
B,北汽新能源,北汽新能源,北汽新能源EX3,2019款 R600 劲领版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,暂无数据,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:18.044266
B,北汽新能源,北汽新能源,北汽新能源EX3,2019款 R600 劲尚版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,暂无数据,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:18.153636
B,北汽新能源,北汽新能源,北汽新能源EX3,2019款 R600 劲潮版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,暂无数据,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:18.309882
B,北汽新能源,北汽新能源,北汽新能源EX3,2019款 R600 劲悦版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,暂无数据,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:18.403628
B,北汽新能源,北汽新能源,北汽新能源EX3,2019款 R600 劲风版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,暂无数据,5,扭力梁式非独立悬架,电子驻车,2019-09-27 08:55:18.512998
B,北汽新能源,北汽新能源,北汽新能源EX5,2019款 悦领版,暂无数据,暂无数据,暂无数据,电动车单速变速箱,暂无数据,暂无数据,暂无数据,纯电动,暂无数据,待查,5,多连杆式独立悬架,电子驻车,2019-09-27 08:55:18.919237
